Location name,Site number,Latitude,Longitude,Installation date,Cell area (m2),Drainage area (m2),DA/CA,Retrofit?
Cleveland Clinic Crile Mall East*,21,"41°30'5.20""N","81°36'52.09""W",2009,483.29,2357.71,4.88,no
Global Cardiovascular Innovation Center*,22,"41°29'55.28""N","81°37'4.51""W",2009,181,1368,7.56,no
Cleveland Clinic Crile Mall East*,23,"41°30'5.75""N","81°36'52.37""W",2009,300.82,1928.82,6.41,no
Windmere Community Learning Center,1,"41° 3'42.33""N","81°26'46.13""W",2010,454.29,2294.02,5,no
Veteran's Way Park*,4,"41°14'14.33""N","81°26'36.83""W",2011,197.88,665.76,3.4,no
Akron General,6,"41°11'2.54""N","81°28'29.51""W",2012,336.62,1442.97,4.3,yes
City Hall,8,"41°31'8.76""N","81°27'31.05""W",2012,37,146,3.95,yes
Mayfield Library*,27,"41°33'23.11""N","81°26'27.68""W",2012,557,1262,2.27,no
Mayfield Library*,28,"41°33'22.38""N","81°26'24.91""W",2012,859,470,0.55,no
Mayfield Library*,29,"41°33'22.20""N","81°26'23.56""W",2012,2774,1831,0.66,no
Jefferson Library,11,"41°28'45.27""N","81°41'7.15""W",2013,106,262,2.47,no
Azure,12,"41°34'15.23""N","81°34'17.00""W",2013,53,362,6.83,no
Outdoor Theatre,15,"41°34'15.59""N","81°34'5.78""W",2013,25.4,227,8.94,no
Keystone Shelter*,24,"41°23'27.06""N","81°41'28.12""W",2013,387.43,1531,4,no
Lakewood Municipal Lot*,30,"41°29'10.08""N","81°48'1.56""W",2013,28.5,572,20.07,yes
Kent State LCI*,38,"41° 8'39.81""N","81°20'20.17""W",2013,185.89,1382,7.4,no
Garfield Heights Library*,26,"41°24'57.03""N","81°36'7.36""W",2014,438.46,1650.34,3.8,no
North Chagrin Nature Center*,33,"41°33'42.78""N","81°26'1.39""W",2014,1050,1388,1.32,yes
Watershed Stewardship Center*,36,"41°23'25.13""N","81°41'45.78""W",2014,293.17,3225,11,no
Great Lakes Mall,9,"41°39'33.15""N","81°21'33.83""W",2015,60.5,107,1.77,yes
Merwin’s Warf*,25,"41°29'23.61""N","81°42'7.14""W",2015,668,1933.5,2.9,no
Lakewood Municipal Lot*,31,"41°29'10.24""N","81°47'58.55""W",2015,34,301,8.85,yes
Lakewood Municipal Lot*,32,"41°29'8.55""N","81°48'2.76""W",2015,47,365,7.77,yes
Lakewood Park*,34,"41°29'43.41""N","81°47'45.35""W",2015,197,549.81,2.8,yes
Lakewood Park*,35,"41°29'40.00""N","81°47'49.04""W",2015,345,0,0,yes
Seneca Golf Course*,37,"41°17'56.89""N","81°40'36.89""W",2016,250,830.54,3.3,yes
