Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Block,Age,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
DBH1-21,21,8,10,2,Drain,High,x,7,80,500,960,72,453,441
DBH2-21,21,5,10,2,Drain,High,y,7,80,500,960,72,453,441
DBH3-21,21,4,10,2,Drain,High,z,7,80,500,960,72,453,441
IBH3-21,21,205,14,295,Inflow,High,z,7,80,500,960,72,453,441
IBH1-21,21,36,10,41,Inflow,High,x,7,80,500,960,72,453,441
IBH2-21,21,12,10,494,Inflow,High,y,7,80,500,960,72,453,441
DBL1-21,21,4,10,2,Drain,Low,x,7,20,100,50,18,78,29
DBL2-21,21,4,10,2,Drain,Low,y,7,20,100,50,18,78,29
DBL3-21,21,4,10,2,Drain,Low,z,7,20,100,50,18,78,29
IBL3-21,21,138,10,262,Inflow,Low,z,7,20,100,50,18,78,29
IBL1-21,21,24,10,30,Inflow,Low,x,7,20,100,50,18,78,29
IBL2-21,21,8,10,40,Inflow,Low,y,7,20,100,50,18,78,29
DBN1-21,21,4,10,2,Drain,No,x,7,4,10,2,4,10,8
DBN2-21,21,4,10,2,Drain,No,y,7,4,10,2,4,10,8
DBN3-21,21,4,10,2,Drain,No,,7,4,10,2,4,10,8
IBN3-21,21,18,10,36,Inflow,No,z,7,4,10,2,4,10,8
IBN2-21,21,15,10,68,Inflow,No,y,7,4,10,2,4,10,8
IBN1-21,21,4,10,438,Inflow,No,x,7,4,10,2,4,10,8
DBH3-22,22,15,10,133,Drain,High,z,7,80,500,960,72,453,441
DBH1-22,22,14,10,196,Drain,High,x,7,80,500,960,72,453,441
DBH2-22,22,7,10,48,Drain,High,y,7,80,500,960,72,453,441
IBH2-22,22,4,10,10,Inflow,High,y,7,80,500,960,72,453,441
IBH1-22,22,4,10,2,Inflow,High,x,7,80,500,960,72,453,441
IBH3-22,22,4,10,2,Inflow,High,z,7,80,500,960,72,453,441
DBL1-22,22,8,10,2,Drain,Low,x,7,20,100,50,18,78,29
DBL2-22,22,7,10,4,Drain,Low,y,7,20,100,50,18,78,29
DBL3-22,22,6,10,2,Drain,Low,z,7,20,100,50,18,78,29
IBL1-22,22,4,10,2,Inflow,Low,x,7,20,100,50,18,78,29
IBL2-22,22,4,10,2,Inflow,Low,y,7,20,100,50,18,78,29
IBL3-22,22,4,10,2,Inflow,Low,z,7,20,100,50,18,78,29
DBN1-22,22,4,10,2,Drain,No,x,7,4,10,2,4,10,8
DBN2-22,22,4,10,2,Drain,No,y,7,4,10,2,4,10,8
DBN3-22,22,4,10,2,Drain,No,z,7,4,10,2,4,10,8
IBN2-22,22,4,10,2,Inflow,No,y,7,4,10,2,4,10,8
IBN1-22,22,4,10,2,Inflow,No,x,7,4,10,2,4,10,8
IBN3-22,22,4,10,2,Inflow,No,z,7,4,10,2,4,10,8
DBH1-23,23,4,10,2,Drain,High,x,7,80,500,960,72,453,441
DBH3-23,23,4,10,2,Drain,High,z,7,80,500,960,72,453,441
DBH2-23,23,4,10,2,Drain,High,y,7,80,500,960,72,453,441
IBH2-23,23,4,10,4,Inflow,High,y,7,80,500,960,72,453,441
IBH1-23,23,4,10,2,Inflow,High,x,7,80,500,960,72,453,441
IBH3-23,23,4,10,2,Inflow,High,z,7,80,500,960,72,453,441
DBL3-23,23,5,10,2,Drain,Low,z,7,20,100,50,18,78,29
DBL1-23,23,4,10,2,Drain,Low,x,7,20,100,50,18,78,29
DBL2-23,23,4,10,2,Drain,Low,y,7,20,100,50,18,78,29
IBL2-23,23,5,10,12,Inflow,Low,y,7,20,100,50,18,78,29
IBL1-23,23,4,10,2,Inflow,Low,x,7,20,100,50,18,78,29
IBL3-23,23,4,10,2,Inflow,Low,z,7,20,100,50,18,78,29
DBN1-23,23,4,10,2,Drain,No,x,7,4,10,2,4,10,8
DBN2-23,23,4,10,2,Drain,No,y,7,4,10,2,4,10,8
DBN3-23,23,4,10,2,Drain,No,z,7,4,10,2,4,10,8
IBN2-23,23,5,10,2,Inflow,No,y,7,4,10,2,4,10,8
IBN1-23,23,4,10,2,Inflow,No,x,7,4,10,2,4,10,8
IBN3-23,23,4,10,2,Inflow,No,z,7,4,10,2,4,10,8
DH2-24,24,20,10,82,Drain,High,y,3,80,500,960,72,453,441
DH1-24,24,14,34,280,Drain,High,x,3,80,500,960,72,453,441
DH3-24,24,9,10,403,Drain,High,z,3,80,500,960,72,453,441
IH1-24,24,7,10,2,Inflow,High,x,3,80,500,960,72,453,441
IH3-24,24,5,10,5,Inflow,High,z,3,80,500,960,72,453,441
IH2-24,24,4,10,2,Inflow,High,y,3,80,500,960,72,453,441
DL2-24,24,7,10,2,Drain,Low,y,3,20,100,50,18,78,29
DL1-24,24,4,10,2,Drain,Low,x,3,20,100,50,18,78,29
DL3-24,24,4,10,2,Drain,Low,z,3,20,100,50,18,78,29
IL1-24,24,9,10,2,Inflow,Low,x,3,20,100,50,18,78,29
IL3-24,24,5,10,2,Inflow,Low,z,3,20,100,50,18,78,29
IL2-24,24,4,10,2,Inflow,Low,y,3,20,100,50,18,78,29
DN1-24,24,4,10,2,Drain,No,x,3,4,10,2,4,10,8
DN2-24,24,4,10,2,Drain,No,y,3,4,10,2,4,10,8
DN3-24,24,4,10,2,Drain,No,z,3,4,10,2,4,10,8
IN3-24,24,4,10,2,Inflow,No,z,3,4,10,2,4,10,8
IN1-24,24,4,10,2,Inflow,No,x,3,4,10,2,4,10,8
