Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Salt,Block,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
DAH1-21,21,4,10,2,Drain,High,High,x,80,500,960,72,453,441
DAH2-21,21,4,10,2,Drain,High,High,y,80,500,960,72,453,441
DAH3-21,21,4,10,18,Drain,High,High,z,80,500,960,72,453,441
IAH1-21,21,112,32,402,Inflow,High,High,x,80,500,960,72,453,441
IAH2-21,21,7,10,196,Inflow,High,High,y,80,500,960,72,453,441
IAH3-21,21,24,101,836,Inflow,High,High,z,80,500,960,72,453,441
DBH1-21,21,8,10,2,Drain,High,Low,x,80,500,960,72,453,441
DBH2-21,21,5,10,2,Drain,High,Low,y,80,500,960,72,453,441
DBH3-21,21,4,10,2,Drain,High,Low,z,80,500,960,72,453,441
IBH1-21,21,36,10,41,Inflow,High,Low,x,80,500,960,72,453,441
IBH2-21,21,12,10,494,Inflow,High,Low,y,80,500,960,72,453,441
IBH3-21,21,205,14,295,Inflow,High,Low,z,80,500,960,72,453,441
DAH1-22,22,29,50,664,Drain,High,High,x,80,500,960,72,453,441
DAH2-22,22,18,10,499,Drain,High,High,y,80,500,960,72,453,441
DAH3-22,22,21,10,602,Drain,High,High,z,80,500,960,72,453,441
IAH1-22,22,4,10,2,Inflow,High,High,x,80,500,960,72,453,441
IAH2-22,22,11,10,204,Inflow,High,High,y,80,500,960,72,453,441
IAH3-22,22,10,10,212,Inflow,High,High,z,80,500,960,72,453,441
DBH1-22,22,14,10,196,Drain,High,Low,x,80,500,960,72,453,441
DBH2-22,22,7,10,48,Drain,High,Low,y,80,500,960,72,453,441
DBH3-22,22,15,10,133,Drain,High,Low,z,80,500,960,72,453,441
IBH1-22,22,4,10,2,Inflow,High,Low,x,80,500,960,72,453,441
IBH2-22,22,4,10,10,Inflow,High,Low,y,80,500,960,72,453,441
IBH3-22,22,4,10,2,Inflow,High,Low,z,80,500,960,72,453,441
DAH1-23,23,4,10,2,Drain,High,High,x,80,500,960,72,453,441
DAH2-23,23,4,10,2,Drain,High,High,y,80,500,960,72,453,441
DAH3-23,23,4,10,2,Drain,High,High,z,80,500,960,72,453,441
IAH1-23,23,4,10,2,Inflow,High,High,x,80,500,960,72,453,441
IAH2-23,23,4,10,3,Inflow,High,High,y,80,500,960,72,453,441
IAH3-23,23,6,10,114,Inflow,High,High,z,80,500,960,72,453,441
DBH1-23,23,4,10,2,Drain,High,Low,x,80,500,960,72,453,441
DBH3-23,23,4,10,2,Drain,High,Low,z,80,500,960,72,453,441
DBH2-23,23,4,10,2,Drain,High,Low,y,80,500,960,72,453,441
IBH1-23,23,4,10,2,Inflow,High,Low,x,80,500,960,72,453,441
IBH2-23,23,4,10,4,Inflow,High,Low,y,80,500,960,72,453,441
IBH3-23,23,4,10,2,Inflow,High,Low,z,80,500,960,72,453,441
DAL1-21,21,4,10,2,Drain,Low,High,x,20,100,50,18,78,29
DAL2-21,21,4,10,3,Drain,Low,High,y,20,100,50,18,78,29
DAL3-21,21,4,10,2,Drain,Low,High,z,20,100,50,18,78,29
IAL1-21,21,136,10,293,Inflow,Low,High,x,20,100,50,18,78,29
IAL2-21,21,184,22,715,Inflow,Low,High,y,20,100,50,18,78,29
IAL3-21,21,76,10,144,Inflow,Low,High,z,20,100,50,18,78,29
DBL1-21,21,4,10,2,Drain,Low,Low,x,20,100,50,18,78,29
DBL2-21,21,4,10,2,Drain,Low,Low,y,20,100,50,18,78,29
DBL3-21,21,4,10,2,Drain,Low,Low,z,20,100,50,18,78,29
IBL1-21,21,24,10,30,Inflow,Low,Low,x,20,100,50,18,78,29
IBL2-21,21,8,10,40,Inflow,Low,Low,y,20,100,50,18,78,29
IBL3-21,21,138,10,262,Inflow,Low,Low,z,20,100,50,18,78,29
DAL1-22,22,4,10,3,Drain,Low,High,x,20,100,50,18,78,29
DAL2-22,22,4,10,2,Drain,Low,High,y,20,100,50,18,78,29
DAL3-22,22,4,10,4,Drain,Low,High,z,20,100,50,18,78,29
IAL1-22,22,4,10,2,Inflow,Low,High,x,20,100,50,18,78,29
IAL2-22,22,4,10,2,Inflow,Low,High,y,20,100,50,18,78,29
IAL3-22,22,4,10,2,Inflow,Low,High,z,20,100,50,18,78,29
DBL1-22,22,8,10,2,Drain,Low,Low,x,20,100,50,18,78,29
DBL2-22,22,7,10,4,Drain,Low,Low,y,20,100,50,18,78,29
DBL3-22,22,6,10,2,Drain,Low,Low,z,20,100,50,18,78,29
IBL1-22,22,4,10,2,Inflow,Low,Low,x,20,100,50,18,78,29
IBL2-22,22,4,10,2,Inflow,Low,Low,y,20,100,50,18,78,29
IBL3-22,22,4,10,2,Inflow,Low,Low,z,20,100,50,18,78,29
DAL2-23,23,4,10,2,Drain,Low,High,y,20,100,50,18,78,29
DAL3-23,23,4,10,2,Drain,Low,High,z,20,100,50,18,78,29
DAL1-23,23,4,10,2,Drain,Low,High,x,20,100,50,18,78,29
IAL1-23,23,4,10,2,Inflow,Low,High,x,20,100,50,18,78,29
IAL2-23,23,4,10,2,Inflow,Low,High,y,20,100,50,18,78,29
IAL3-23,23,4,10,2,Inflow,Low,High,z,20,100,50,18,78,29
DBL1-23,23,4,10,2,Drain,Low,Low,x,20,100,50,18,78,29
