Sample,Cell_no,Cu,Pb,Zn,Depth,Location,OM,Clay,Silt,Sand,BD,d50
1a,1,30,13,154,0 to 10,Inflow,5.15,2.610636,23.060391,74.247807,0.37,212.65
1a2,1,26,21,121,0 to 10,Drain,12.09,3.743969,37.243628,58.881912,0.14,91.21
1b,1,27,15,136,10 to 20,Inflow,5.82,4.06334,25.684848,70.138963,1.52,237.04
1b2,1,31,35,195,10 to 20,Drain,6.3,4.781678,30.785203,64.301526,1.57,169.13
4a,39/4,19,31,89,0 to 10,Inflow,18.22,3.654457,33.946519,62.316814,0.1,98.79
4a2,39/4,13,14,119,0 to 10,Drain,16.2,2.666705,27.372333,69.863327,0.83,143.62
4b,39/4,8,14,49,10 to 20,Inflow,3.6,2.226159,18.384423,79.283901,1.98,250.2
4b2,39/4,6,9,52,10 to 20,Drain,2.77,2.579723,20.909142,76.488667,2.14,202.82
5a,5,11,12,60,0 to 10,Inflow,11.04,2.349194,24.132436,73.407029,0.22,201.72
5a2,5,12,11,52,0 to 10,Drain,6.39,3.196065,28.805039,67.904852,1.82,165.29
5b,5,14,17,55,10 to 20,Inflow,6.64,2.500064,25.124708,72.205779,2.18,206.37
5b2,5,29,43,46,10 to 20,Drain,6.21,2.469816,23.996698,73.40267,2.02,217.7
6a,6,24,50,120,0 to 10,Inflow,8.01,13.758465,51.42293,34.761251,2.07,24.82
6a2,6,18,66,91,0 to 10,Drain,15.55,6.536403,37.203207,56.101744,0.22,89.94
6b,6,20,44,95,10 to 20,Inflow,7.81,18.349502,54.227675,27.361071,1.83,17.56
6b2,6,19,42,103,10 to 20,Drain,17.75,9.769035,54.770468,35.376296,1.37,31.4
8a,8,26,19,123,0 to 10,Inflow,9.46,2.05832,20.56661,77.268199,0.89,232.92
8a2,8,29,20,131,0 to 10,Drain,8.43,2.560207,23.59462,73.782158,1.4,191.97
8b,8,43,16,148,10 to 20,Inflow,9.15,3.110571,57.409935,39.479494,1.5,35.63
8b2,8,31,21,180,10 to 20,Drain,16.37,1.276616,19.247706,79.436214,0.44,209.17
9a,9,17,14,51,0 to 10,Inflow,4.98,6.152875,32.51724,61.157937,0.27,190.39
9a2,9,19,24,87,0 to 10,Drain,12.39,4.695882,32.293215,62.919165,1.58,130.17
9b,9,15,21,57,10 to 20,Inflow,4.39,7.159746,38.145767,54.621545,1.46,88.62
9b2,9,12,14,56,10 to 20,Drain,3.83,7.349774,39.045869,53.569704,3.01,80.69
11a,11,23,81,150,0 to 10,Inflow,16.43,4.762441,34.751888,60.394342,1.07,106.45
11a2,11,18,32,152,0 to 10,Drain,69.53,0.730204,11.185135,87.605057,0.02,463.07
11b,11,14,41,74,10 to 20,Inflow,1.64,11.611834,36.002447,52.299792,2.9,81.85
11b2,11,25,47,172,10 to 20,Drain,NA,NA,NA,NA,0.01,NA
12a,12,87,39,138,0 to 10,Inflow,21.82,0.730911,12.114487,86.808222,0.07,383.15
12b,12,30,62,135,10 to 20,Inflow,9.84,9.717875,52.556341,37.684224,1.64,32.6
15a,15,11,20,61,0 to 10,Inflow,80,1.188302,17.740404,80.734993,0.22,289.6
15a2,15,16,16,70,0 to 10,Drain,78.43,0.860288,13.354803,85.357575,0.36,388.13
21a,21,31,77,136,0 to 10,Inflow,17.84,1.064805,25.713122,73.103585,0.48,171.16
21a2,21,31,22,111,0 to 10,Drain,3.22,2.90233,30.912459,66.085681,0.72,211.6
21b,21,23,14,88,10 to 20,Inflow,5.65,1.784612,25.660473,72.554916,0.96,239.94
21b2,21,24,64,89,10 to 20,Drain,4.55,3.10062,32.899124,63.921547,0.85,201.73
22a,22,12,31,65,0 to 10,Inflow,6.4,1.759231,26.895456,71.19339,0.95,256.1
22a2,22,55,228,208,0 to 10,Drain,51.31,2.982841,28.204257,68.710603,0.15,109.77
22b,22,12,11,47,10 to 20,Inflow,3.9,2.232059,26.891433,70.681514,2.09,276.4
22b2,22,14,24,64,10 to 20,Drain,8.87,1.700229,28.474857,69.593372,1.4,234.78
23a,23,23,25,85,0 to 10,Inflow,12.92,1.156893,23.310442,75.481551,0.37,218.18
23a2,23,26,17,84,0 to 10,Drain,2.68,3.307619,32.751618,63.824397,0.84,195.4
23b,23,25,23,103,10 to 20,Inflow,14.57,1.094745,27.508115,71.351884,0.44,152.76
23b2,23,32,22,98,10 to 20,Drain,5.05,2.747328,27.832118,69.341001,1.37,249.02
24a,24,15,10,50,0 to 10,Inflow,7.45,10.518888,53.693153,35.726049,0.68,30.86
24a2,24,22,14,71,0 to 10,Drain,8.69,6.581371,44.505008,48.860813,0.89,57.21
24b,24,23,15,72,10 to 20,Inflow,7.33,11.602824,55.726962,32.627981,1.44,27.93
24b2,24,22,12,81,10 to 20,Drain,8.48,3.105854,44.035723,52.758313,0.99,67.4
25a,25,12,13,40,0 to 10,Inflow,16.7,7.127087,54.308854,38.473824,0.87,33.52
25a2,25,28,21,93,0 to 10,Drain,16.71,2.191561,32.79533,64.854062,0.57,144.33
25b,25,51,41,27,10 to 20,Inflow,6.29,3.700348,16.068629,79.783014,1.53,205.87
25b2,25,28,28,84,10 to 20,Drain,9.93,4.287781,31.957109,63.691194,0.4,148.03
26a,26,17,30,107,0 to 10,Inflow,7.02,3.284475,36.230635,60.355783,0.83,144.38
26a2,26,18,20,82,0 to 10,Drain,7.58,3.222909,34.133682,62.630976,0.73,122.9
26b,26,19,21,76,10 to 20,Inflow,5.44,3.78415,25.791194,70.317822,1.31,219.48
26b2,26,24,18,43,10 to 20,Drain,5.56,3.290634,26.974534,69.70554,0.89,216.73
27a,27,29,23,164,0 to 10,Inflow,12.71,7.424351,48.465036,44.083326,0.65,46.64
27b,27,22,16,59,10 to 20,Inflow,6.86,3.851423,30.286444,65.826964,1.28,167.62
28a,28,21,15,67,0 to 10,Inflow,7.79,1.91089,29.766151,68.253661,0.64,178.57
28b,28,19,17,59,10 to 20,Inflow,7.96,2.986212,25.648429,71.264524,1,225.34
29a,29,25,19,82,0 to 10,Inflow,6.16,2.223827,29.789938,67.894556,0.65,207.35
29b,29,22,25,58,10 to 20,Inflow,7.42,5.546519,35.898201,58.524032,1.64,112.8
30a,30,17,35,387,0 to 10,Inflow,10.91,3.744095,31.092312,65.100234,0.8,142.69
30a2,30,26,24,143,0 to 10,Drain,15.84,9.671972,45.710029,44.579103,0.54,44.6
30b,30,18,26,122,10 to 20,Inflow,8.72,2.497929,21.359616,76.037444,1.07,274.35
30b2,30,15,16,50,10 to 20,Drain,5.71,3.278382,30.717937,66.00368,1.38,147.1
31a,31,15,12,40,0 to 10,Inflow,4.89,3.709512,26.05378,70.225748,0.77,187.28
31a2,31,22,15,42,0 to 10,Drain,9.43,2.249351,23.672528,74.057579,0.56,160.44
31b,31,14,13,45,10 to 20,Inflow,4.41,2.496621,21.621989,75.881392,1.3,218.13
31b2,31,16,12,55,10 to 20,Drain,6.05,3.232745,25.831521,70.904997,2.02,219.08
32a,32,16,11,51,0 to 10,Inflow,10.86,3.184052,27.262579,69.474522,0.65,187.73
32a2,32,21,17,54,0 to 10,Drain,9.86,3.119638,28.663794,68.168315,0.65,155.73
32b,32,20,19,68,10 to 20,Inflow,11.19,3.63984,31.432507,64.8574,1.01,149.68
32b2,32,17,18,49,10 to 20,Drain,8.05,4.222217,37.061755,58.716031,1.93,96.77
33a,33,18,46,68,0 to 10,Inflow,6.93,16.46091,69.502663,14.019864,1.15,15.71
33a2,33,13,16,60,0 to 10,Drain,9.36,2.719349,24.269644,72.891775,0.98,237.26
33b,33,15,22,33,10 to 20,Inflow,6.86,16.428112,69.211377,14.35347,1.15,15.3
33b2,33,26,14,55,10 to 20,Drain,6.88,3.225937,26.546911,70.22715,1.56,238.67
34a,34,16,11,45,0 to 10,Inflow,8.84,3.370441,27.269618,69.297094,0.77,214.16
34a2,34,29,41,60,0 to 10,Drain,12.91,2.516501,19.526484,77.638833,0.34,388.13
34b,34,20,21,44,10 to 20,Inflow,7.85,3.125588,26.626344,70.167637,1.06,226.21
34b2,34,43,16,24,10 to 20,Drain,7.9,3.690293,30.125173,66.13467,1.06,186.06
35a,35,14,13,36,0 to 10,Inflow,6.84,1.708988,27.843356,70.385155,1.32,192.08
35a2,35,26,14,57,0 to 10,Drain,10.97,4.517929,33.451787,61.993368,0.65,121.01
35b,35,19,16,50,10 to 20,Inflow,7.22,4.349941,31.48361,64.063971,1.81,164.18
35b2,35,20,12,50,10 to 20,Drain,7.98,3.494382,29.15472,67.297331,1.64,192.6
36a,36/5,16,23,56,0 to 10,Inflow,8.31,3.381916,31.196774,65.415494,0.94,137.15
36a2,36/5,17,15,55,0 to 10,Drain,6.59,2.543982,26.965131,70.452519,1.047,182.57
36b,36/5,17,13,51,10 to 20,Inflow,7.51,2.849064,25.216058,71.868158,1.7,221.68
36b2,36/5,19,15,47,10 to 20,Drain,7.3,2.836819,26.039004,71.059889,1.2,216.03
37a,37,15,22,40,0 to 10,Inflow,7.82,4.331536,25.557188,70.059795,0.82,201.51
37a2,37,12,13,50,0 to 10,Drain,4.66,2.42314,20.051542,77.444579,0.8,269.93
37b,37,22,8,42,10 to 20,Inflow,5.27,24.429491,68.809596,6.760915,1.89,9.59
37b2,37,13,11,43,10 to 20,Drain,5.46,3.056998,24.549122,72.369509,1.33,216.74
38a,38,14,16,61,0 to 10,Inflow,11.46,2.609274,44.148597,53.170889,0.82,68.95
38a2,38,14,10,51,0 to 10,Drain,20.46,1.869716,33.261018,64.775564,0.32,118.31
38b,38,14,11,51,10 to 20,Inflow,12.41,2.602604,44.020518,53.272286,1,69.57
38b2,38,13,13,46,10 to 20,Drain,12.58,2.288254,33.346436,64.198584,0.94,148.86
39a,39/4,20,26,81,0 to 10,Inflow,15.52,1.01867,29.098851,69.84369,0.48,124.36
39a2,39/4,18,13,65,0 to 10,Drain,12.25,3.670791,36.196692,60.12625,0.54,87.66
